id,lat,lng,start_date,end_date,size,cloudcover,satellite,station,downloaded_path
98,0.4671,35.5333,20121229,20130627,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/169060/2013-05-14/LC08/4;/mnt/d/ProjectData/Landsat/Images/169060/2013-05-30/LC08/0;
99,-6.083,145.1667,20131102,20140501,Large,10,LC8,ALL,NODATA
100,44.3984,-123.7788,20140227,20140826,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/047029/2014-03-23/LC08/0;/mnt/d/ProjectData/Landsat/Images/046029/2014-07-06/LC08/0;/mnt/d/ProjectData/Landsat/Images/046029/2014-08-07/LC08/0;/mnt/d/ProjectData/Landsat/Images/046029/2014-08-23/LC08/4;
101,22.47,102.62,20080712,20090108,Large,10,LC8,ALL,NODATA
102,21.85,108.45,20080322,20080918,Large,10,LC8,ALL,NODATA
103,-7.28,110.141,20070219,20070818,Large,10,LC8,ALL,NODATA
104,34.2116,77.3504,20100806,20110202,Large,10,LC8,ALL,NODATA
105,16.6803,98.3667,20130728,20140124,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/131049/2013-10-27/LC08/10;/mnt/d/ProjectData/Landsat/Images/131048/2013-11-12/LC08/5;/mnt/d/ProjectData/Landsat/Images/131049/2013-11-12/LC08/5;/mnt/d/ProjectData/Landsat/Images/131048/2013-12-14/LC08/9;/mnt/d/ProjectData/Landsat/Images/131049/2013-12-14/LC08/0;/mnt/d/ProjectData/Landsat/Images/131049/2014-01-15/LC08/0;
106,7.1916,126.1086,20110422,20111019,Large,10,LC8,ALL,NODATA
107,-17.2353,-66.532,20140208,20140807,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/233072/2014-03-30/LC08/4;/mnt/d/ProjectData/Landsat/Images/233072/2014-06-02/LC08/7;
108,34.5847,73.3731,20120819,20130215,Large,10,LC8,ALL,NODATA
109,27.7702,85.8692,20140802,20150129,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/141041/2014-11-05/LC08/8;
110,16.0774,121.7692,20131012,20140410,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/116049/2014-02-07/LC08/2;
111,0.7793,-79.5864,20130423,20131020,Large,10,LC8,ALL,NODATA
112,9.833,-3.1,20080809,20090205,Large,10,LC8,ALL,NODATA
113,33.0119,97.141,20141202,20150531,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/134037/2014-12-06/LC08/0;/mnt/d/ProjectData/Landsat/Images/134037/2014-12-22/LC08/8;/mnt/d/ProjectData/Landsat/Images/134037/2015-01-07/LC08/7;/mnt/d/ProjectData/Landsat/Images/134037/2015-01-23/LC08/8;/mnt/d/ProjectData/Landsat/Images/134037/2015-03-12/LC08/5;
114,-13.917,-70.233,20090302,20090829,Large,10,LC8,ALL,NODATA
115,35.3368,-84.0317,20130117,20130716,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/018035/2013-04-10/LC08/3;/mnt/d/ProjectData/Landsat/Images/018036/2013-04-10/LC08/4;
116,0.3756,35.6013,20121229,20130627,Large,10,LC8,ALL,/mnt/d/ProjectData/Landsat/Images/169060/2013-05-14/LC08/4;/mnt/d/ProjectData/Landsat/Images/169060/2013-05-30/LC08/0;
